mode,K_or_FPR,threshold,precision,recall,fpr,alerts,alerts_per_day
fpr,0.1,0.9774435523563786,0.8942486085343229,0.2372047244094488,0.0009996141839991582,1078,25.666666666666668
fpr,0.5,0.8941095010170961,0.725565719788156,0.3708169291338583,0.004998070919995791,2077,49.45238095238095
fpr,1.0,0.8417450434232073,0.6041666666666666,0.4281496062992126,0.009996141839991582,2880,68.57142857142857
fpr,2.0,0.7683726489240149,0.475258918296893,0.5081200787401575,0.019992283679983163,4345,103.45238095238095
